Time,RxPower
1.73246,-54.7127
1.73287,-54.7127
1.73329,-54.7127
1.73369,-54.7127
1.73416,-54.7127
1.73457,-54.7127
1.73506,-54.7127
1.73551,-54.7127
1.73605,-54.7127
1.73663,-54.7127
1.73717,-54.7127
1.73758,-54.7127
1.73812,-54.7127
1.73867,-54.7127
1.73907,-54.7127
1.73949,-54.7127
1.73992,-54.7127
1.74034,-54.7127
1.74084,-54.7127
1.74124,-54.7127
1.74173,-54.7127
1.74212,-54.7127
1.74262,-54.7127
1.74311,-54.7127
1.7436,-54.7127
1.74418,-54.7127
1.74481,-54.7127
1.74538,-54.7127
1.74589,-54.7127
1.74629,-54.7127
1.74673,-54.7127
1.74715,-54.7127
1.74767,-54.7127
1.74813,-54.7127
1.7486,-54.7127
1.74913,-54.7127
1.74964,-54.7127
1.75016,-54.7127
1.75066,-54.7127
1.75117,-54.7127
1.75166,-54.7127
1.75206,-54.7127
1.75257,-54.7127
1.75307,-54.7127
1.75348,-54.7127
1.754,-54.7127
1.75449,-54.7127
1.755,-54.7127
1.75547,-54.7127
1.756,-54.7127
1.75653,-54.7127
1.75703,-54.7127
1.75758,-54.7127
1.7581,-54.7127
1.75853,-54.7127
1.75901,-54.7127
1.75954,-54.7127
1.76007,-54.7127
1.76047,-54.7127
1.76091,-54.7127
1.76132,-54.7127
1.76179,-54.7127
1.76221,-54.7127
1.76273,-54.7127
1.76313,-54.7127
1.76363,-54.7127
1.76426,-54.7127
1.76479,-54.7127
1.76522,-54.7127
1.76567,-54.7127
1.7662,-54.7127
1.76675,-54.7127
1.76738,-54.7127
1.76797,-54.7127
1.76846,-54.7127
1.76891,-54.7127
1.76936,-54.7127
1.76987,-54.7127
1.7705,-54.7127
1.77099,-54.7127
1.77148,-54.7127
1.77208,-54.7127
1.77263,-54.7127
1.77312,-54.7127
1.7736,-54.7127
1.77406,-54.7127
1.77447,-54.7127
1.77495,-54.7127
1.77535,-54.7127
1.77579,-54.7127
1.77631,-54.7127
1.77687,-54.7127
1.7774,-54.7127
1.77802,-54.7127
1.77865,-54.7127
1.77919,-54.7127
1.77978,-54.7127
1.78039,-54.7127
1.7809,-54.7127
1.78151,-54.7127
1.7821,-54.7127
1.78262,-54.7127
1.78313,-54.7127
1.7837,-54.7127
1.78432,-54.7127
1.78492,-54.7127
1.78546,-54.7127
1.78595,-54.7127
1.78648,-54.7127
1.78694,-54.7127
1.78757,-54.7127
1.78817,-54.7127
1.78876,-54.7127
1.7893,-54.7127
1.78981,-54.7127
1.79021,-54.7127
1.7907,-54.7127
1.79121,-54.7127
1.79177,-54.7127
1.79226,-54.7127
1.79277,-54.7127
1.79328,-54.7127
1.79379,-54.7127
1.79429,-54.7127
1.79473,-54.7127
1.7952,-54.7127
1.79572,-54.7127
1.79619,-54.7127
1.79664,-54.7127
1.79706,-54.7127
1.79747,-54.7127
1.7979,-54.7127
1.79832,-54.7127
1.7988,-54.7127
1.79934,-54.7127
1.79994,-54.7127
1.80048,-54.7127
1.80089,-54.7127
1.80141,-54.7127
1.80193,-54.7127
1.80239,-54.7127
1.8028,-54.7127
1.80321,-54.7127
1.80364,-54.7127
1.80417,-54.7127
1.80471,-54.7127
1.80526,-54.7127
1.8058,-54.7127
1.8062,-54.7127
1.80668,-54.7127
1.8072,-54.7127
1.80771,-54.7127
1.80814,-54.7127
1.80854,-54.7127
1.80905,-54.7127
1.80968,-54.7127
1.81018,-54.7127
1.81063,-54.7127
1.81106,-54.7127
1.81155,-54.7127
1.81204,-54.7127
1.81261,-54.7127
1.81312,-54.7127
1.81354,-54.7127
1.81396,-54.7127
1.81436,-54.7127
1.81469,-54.7127
1.81517,-54.7127
1.81561,-54.7127
1.81608,-54.7127
1.81652,-54.7127
1.81692,-54.7127
1.8174,-54.7127
1.81782,-54.7127
1.81828,-54.7127
1.81876,-54.7127
1.81926,-54.7127
1.81976,-54.7127
1.82025,-54.7127
1.82075,-54.7127
1.8213,-54.7127
1.82187,-54.7127
1.8224,-54.7127
1.82289,-54.7127
1.82331,-54.7127
1.82379,-54.7127
1.82424,-54.7127
1.82483,-54.7127
1.82535,-54.7127
1.82581,-54.7127
1.82623,-54.7127
1.82665,-54.7127
1.8271,-54.7127
1.82762,-54.7127
1.82802,-54.7127
1.82851,-54.7127
1.82891,-54.7127
1.82933,-54.7127
1.82981,-54.7127
1.83023,-54.7127
1.83066,-54.7127
1.83116,-54.7127
1.83169,-54.7127
1.83231,-54.7127
1.83291,-54.7127
1.83345,-54.7127
1.834,-54.7127
1.83453,-54.7127
1.83502,-54.7127
1.83555,-54.7127
1.83604,-54.7127
1.83654,-54.7127
1.83711,-54.7127
1.83765,-54.7127
1.83814,-54.7127
1.83868,-54.7127
1.83909,-54.7127
1.83961,-54.7127
1.84014,-54.7127
1.84067,-54.7127
1.84129,-54.7127
1.84181,-54.7127
1.84241,-54.7127
1.843,-54.7127
1.84351,-54.7127
1.84402,-54.7127
1.84457,-54.7127
1.845,-54.7127
1.84545,-54.7127
1.84593,-54.7127
1.84647,-54.7127
1.84698,-54.7127
1.84748,-54.7127
1.84788,-54.7127
1.84832,-54.7127
1.84879,-54.7127
1.84923,-54.7127
1.84967,-54.7127
1.85008,-54.7127
1.85058,-54.7127
1.85105,-54.7127
1.85159,-54.7127
1.85209,-54.7127
1.85262,-54.7127
1.85317,-54.7127
1.85378,-54.7127
1.85429,-54.7127
1.85474,-54.7127
1.85521,-54.7127
1.85573,-54.7127
1.85627,-54.7127
1.85684,-54.7127
1.85738,-54.7127
1.85787,-54.7127
1.85849,-54.7127
1.85903,-54.7127
1.8595,-54.7127
1.86011,-54.7127
1.86071,-54.7127
1.8612,-54.7127
1.86162,-54.7127
1.86214,-54.7127
1.86257,-54.7127
1.86306,-54.7127
1.86363,-54.7127
1.86413,-54.7127
1.86464,-54.7127
1.86516,-54.7127
1.86573,-54.7127
1.86628,-54.7127
1.86678,-54.7127
1.86723,-54.7127
1.86776,-54.7127
1.86832,-54.7127
1.86873,-54.7127
1.86924,-54.7127
1.86975,-54.7127
1.87024,-54.7127
1.87068,-54.7127
1.87121,-54.7127
1.87171,-54.7127
1.87217,-54.7127
1.87267,-54.7127
1.87327,-54.7127
1.87389,-54.7127
1.87448,-54.7127
1.87501,-54.7127
1.8756,-54.7127
1.87613,-54.7127
1.87666,-54.7127
1.87723,-54.7127
1.87784,-54.7127
1.87842,-54.7127
1.879,-54.7127
1.87958,-54.7127
1.88012,-54.7127
1.88064,-54.7127
1.88118,-54.7127
1.88177,-54.7127
1.8823,-54.7127
1.88273,-54.7127
1.88327,-54.7127
1.88386,-54.7127
1.88448,-54.7127
1.885,-54.7127
1.88544,-54.7127
1.88585,-54.7127
1.88634,-54.7127
1.88692,-54.7127
1.88733,-54.7127
1.88778,-54.7127
1.88818,-54.7127
1.88862,-54.7127
1.88906,-54.7127
1.88957,-54.7127
