Time,DataRate_Mbps
8.64699,78.7869
8.64745,78.8994
8.64796,70.6426
8.6484,83.7965
8.64882,87.4136
8.64928,78.8994
8.6497,85.5669
8.65023,69.4316
8.65073,73.1959
8.65116,83.7965
8.65158,87.4136
8.6521,70.6426
8.65253,83.7965
8.65298,80.4669
8.65348,73.1959
8.65391,85.5669
8.65432,89.3418
8.65468,66.5523
8.6552,70.6426
8.6556,89.3418
8.65612,70.6426
8.65674,78.7869
8.65723,74.5431
8.65765,85.5669
8.65811,80.4669
8.65855,82.098
8.65906,71.8966
8.65947,89.3418
8.65991,82.098
8.66038,77.3918
8.66072,71.8685
8.66113,89.3418
8.66148,68.2348
8.66194,80.4669
8.66246,69.4316
8.6629,83.7965
8.66336,78.8994
8.66376,91.357
8.66429,68.2614
8.66473,83.7965
8.66522,73.1959
8.66567,82.098
8.66617,71.8966
8.6668,77.6542
8.66741,79.9532
8.66786,80.4669
8.66829,85.5669
8.66876,77.3918
8.66907,78.1078
8.66958,71.8966
8.67002,82.098
8.67043,89.3418
8.67076,73.8345
8.67129,68.2614
8.67192,77.6542
8.67251,82.3924
8.67312,78.7869
8.67359,78.8994
8.67407,75.9407
8.67452,80.4669
8.67496,82.098
8.67539,85.5669
8.6757,78.1078
8.67601,78.1078
8.67633,75.9111
8.67678,82.098
8.67731,68.2614
8.67776,80.4669
8.67817,89.3418
8.67849,75.9111
8.679,71.8966
8.67941,87.4136
8.67989,77.3918
8.6803,87.4136
8.68076,78.8994
8.68129,69.4316
8.6818,71.8966
8.68229,73.1959
8.68289,81.1544
8.68332,85.5669
8.68375,85.5669
8.68407,75.9111
8.6845,83.7965
8.68481,78.1078
8.68531,73.1959
8.68574,83.7965
8.68606,75.9111
8.68638,75.9111
8.68684,80.4669
8.68734,71.8966
8.68787,69.4316
8.6883,85.5669
8.68869,91.357
8.68915,80.4669
8.68964,74.5431
8.69016,69.4316
8.69061,80.4669
8.69105,83.7965
8.69145,91.357
8.69176,78.1078
8.69224,75.9407
8.69269,80.4669
8.69318,74.5431
8.69363,82.098
8.69413,71.8966
8.69461,75.9407
8.69505,83.7965
8.69556,70.6426
8.69604,75.9407
8.69666,78.7869
8.69708,87.4136
8.69752,82.098
8.69794,87.4136
8.69845,70.6426
8.69893,75.9407
8.69933,91.357
8.69965,75.9111
8.70015,73.1959
8.70058,85.5669
8.7009,75.9111
8.70121,78.1078
8.70165,82.098
8.70211,78.8994
8.70246,70.0046
8.70292,78.8994
8.70325,73.8345
8.70374,74.5431
8.70424,73.1959
8.70484,81.1544
8.70534,73.1959
8.70592,83.6687
8.70653,78.7869
8.70698,82.098
8.70751,68.2614
8.70795,83.7965
8.70836,89.3418
8.70882,78.8994
8.70924,85.5669
8.70969,82.098
8.71,78.1078
8.71031,78.1078
8.71078,77.3918
8.71131,68.2614
8.7118,74.5431
8.71227,78.8994
8.71288,78.7869
8.71334,80.4669
8.71382,74.5431
8.71443,79.9532
8.71487,83.7965
8.7154,68.2614
8.71585,82.098
8.71644,81.1544
8.71694,73.1959
8.71738,83.7965
8.71779,87.4136
8.7183,71.8966
8.71874,83.7965
8.7192,78.8994
8.71965,80.4669
8.72012,77.3918
8.72058,78.8994
8.721,87.4136
8.72146,78.8994
8.72193,77.3918
8.72241,77.3918
8.72272,78.1078
8.7232,75.9407
8.72373,68.2614
8.72413,91.357
8.72465,70.6426
8.72513,74.5431
8.72575,78.7869
8.72634,82.3924
8.72697,77.6542
8.72739,85.5669
8.72782,85.5669
8.72833,71.8966
8.72877,82.098
8.72908,78.1078
8.72958,73.1959
8.73001,83.7965
8.7305,74.5431
8.7309,91.357
8.7314,73.1959
8.73185,80.4669
8.73236,71.8966
8.73277,89.3418
8.7333,68.2614
8.7337,91.357
8.73418,75.9407
8.73468,73.1959
8.73511,85.5669
8.73562,70.6426
8.73603,89.3418
8.73651,75.9407
8.73698,77.3918
8.73739,89.3418
8.73786,77.3918
8.73837,71.8966
8.73887,73.1959
8.73936,73.1959
8.73999,77.6542
8.74046,77.3918
8.74102,86.3437
8.74143,89.3418
8.74194,71.8966
8.74236,87.4136
8.74283,77.3918
8.74314,78.1078
8.74345,78.1078
8.74393,75.9407
8.74435,85.5669
8.74468,73.8345
8.74515,78.8994
8.7456,80.4669
8.74604,82.098
8.74653,74.5431
8.74701,75.9407
8.74745,83.7965
8.74776,78.1078
8.7481,71.8685
8.74858,75.9407
8.74899,87.4136
8.74932,73.8345
8.74979,77.3918
8.75033,68.2614
8.7508,77.3918
8.75142,77.6542
8.75203,79.9532
8.75249,78.8994
8.75299,73.1959
8.75358,82.3924
8.7542,78.7869
8.75479,82.3924
8.75523,82.098
8.75577,68.2614
8.75623,78.8994
8.75684,79.9532
8.75745,78.7869
8.75792,77.3918
8.75838,80.4669
8.75886,75.9407
8.75927,89.3418
8.75975,75.9407
8.76016,87.4136
